candidate_id,application_date,department,role_level,source,gender,education,city,experience_years,screened,interviewed,interview_score,offered,offered_salary,expected_salary,accepted,joined,days_to_hire
CAND00001,2022-03-05,Data Science,Senior,Company Website,Female,PhD,Delhi,2.3,False,False,,False,,,False,False,
CAND00002,2022-07-19,Sales,Junior,Employee Referral,Female,M.Tech,Chennai,3.2,True,True,7.1,True,394947.0,450133.0,True,True,30.0
CAND00003,2024-07-30,Engineering,Senior,LinkedIn,Male,M.Tech,Ahmedabad,7.0,False,False,,False,,,False,False,
CAND00004,2022-09-10,Marketing,Manager,LinkedIn,Female,MBA,Mumbai,0.2,True,True,7.7,False,,,False,False,
CAND00005,2023-09-14,Engineering,Junior,Naukri,Female,BBA,Chennai,3.1,True,False,,False,,,False,False,
CAND00006,2023-07-25,Data Science,Manager,Naukri,Female,PhD,Ahmedabad,8.6,False,False,,False,,,False,False,
CAND00007,2022-10-30,HR,Mid-Level,Campus,Female,B.Tech,Hyderabad,9.1,True,True,4.1,False,,,False,False,
CAND00008,2022-03-23,Data Science,Junior,LinkedIn,Male,MCA,Bangalore,11.6,True,True,9.2,True,399707.0,351440.0,True,True,49.0
CAND00009,2024-03-01,Sales,Senior,LinkedIn,Male,PhD,Chennai,12.7,True,True,4.2,False,,,False,False,
CAND00010,2024-02-01,Engineering,Junior,Naukri,Female,B.Tech,Hyderabad,8.4,True,True,7.2,True,473142.0,447795.0,False,False,
CAND00011,2023-04-02,Operations,Mid-Level,Employee Referral,Male,M.Tech,Hyderabad,3.3,False,False,,False,,,False,False,
CAND00012,2022-01-01,Data Science,Mid-Level,LinkedIn,Female,B.Tech,Mumbai,9.7,True,True,5.0,False,,,False,False,
CAND00013,2023-09-04,Marketing,Mid-Level,Employee Referral,Male,MCA,Chennai,3.3,True,True,5.5,True,776223.0,819365.0,True,False,73.0
CAND00014,2022-06-08,Sales,Junior,Naukri,Male,B.Tech,Mumbai,3.6,True,False,,False,,,False,False,
CAND00015,2023-11-24,Engineering,Senior,Employee Referral,Male,PhD,Chennai,5.5,True,True,4.5,False,,,False,False,
CAND00016,2023-07-15,Data Science,Junior,LinkedIn,Female,MCA,Hyderabad,0.2,True,True,5.0,False,,,False,False,
CAND00017,2024-08-18,Data Science,Junior,Company Website,Male,B.Tech,Delhi,13.9,True,True,8.9,True,423558.0,383533.0,True,False,51.0
